Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
TrailingSilenceSeconds,,終了無音,Trailing Silence Seconds,结束静默,結束靜音秒數,종료 무음 초,Segundos de silencio final,ثواني الصمت النهائية,Detik Keheningan Akhir,
TrailingSilenceSecondsDesc,,音声末尾の無音時間の長さ,Length of silence at the end of the speech,语音结束后的静默时长,結束語音後的靜音時間長度,음성 끝 부분의 무음 시간 길이,Longitud del silencio al final del habla,طول الصمت في نهاية الكلام,Panjang keheningan di akhir ucapan,
LineBreakSilenceSeconds,,改行無音,Line Break Silence Seconds,换行静默,換行靜音秒數,줄 바꿈 무음 초,Segundos de silencio de salto de línea,ثواني الصمت عند فواصل الأسطر,Detik Keheningan Baris Baru,
LineBreakSilenceSecondsDesc,,改行時の無音時間の長さ,Length of silence at line breaks,换行时的静默时长,換行時的靜音時間長度,줄 바꿈 시의 무음 시간 길이,Longitud del silencio en saltos de línea,طول الصمت عند فواصل الأسطر,Panjang keheningan pada jeda baris,
SecUnit,,秒,sec,秒,秒,초,Segundos,ثانية,dtk,
ApiKey,,APIキー,API Key,API密钥,API金鑰,API 키,Clave API,مفتاح API,Kunci API,
SpeakerList,,話者一覧,Speakers,说话者列表,說話者列表,화자 목록,Lista de hablantes,قائمة المتحدثين,Daftar Pembicara,
ModelUuid,,モデルUUID,Model UUID,模型UUID,模型UUID,모델 UUID,Modelo UUID,نموذج UUID,Model UUID,
NameHeader,,名前,Name,名称,名稱,이름,Nombre,اسم,Nama,
Description,,説明,Description,描述,描述,설명,Descripción,وصف,Deskripsi,
Add,,追加,Add,添加,新增,추가,Agregar,إضافة,Tambah,
Delete,,削除,Delete,删除,刪除,삭제,Eliminar,حذف,Hapus,
MissingUuidMessage,,モデルUUIDまたはAivisHubのモデルページURLを入力してください。,Please enter the Model UUID or the AivisHub model page URL.,请输入模型UUID或AivisHub模型页面URL。,請輸入模型UUID或AivisHub模型頁面URL。,모델 UUID 또는 AivisHub 모델 페이지 URL을 입력하세요.,Por favor, ingrese el UUID del modelo o la URL de la página del modelo de AivisHub.,الرجاء إدخال UUID النموذج أو عنوان URL لصفحة نموذج AivisHub.,Silakan masukkan UUID model atau URL halaman model AivisHub.,
Error,,エラー,Error,错误,錯誤,오류,Error,خطأ,Kesalahan,
FetchingModelInfo,,モデル情報を取得中,Fetching Model Info,模型信息获取中,正在獲取模型資訊,모델 정보 가져오는 중,Obteniendo información del modelo,جاري الحصول على معلومات النموذج,Mendapatkan informasi model,
ErrorFetchingModelInfo,,モデル情報の取得に失敗しました。,Failed to fetch model info,模型信息获取失败,獲取模型資訊失敗,모델 정보 가져오기 실패,Error al obtener información del modelo,Fallo al obtener información del modelo,Gagal mendapatkan informasi model,
HowToUseAivisCloudApi,,ヘルプ: AivisCloudAPIの設定方法,Help: How to set up AivisCloudAPI,帮助：AivisCloudAPI设置方法,如何设置AivisCloudAPI的帮助,도움말: AivisCloudAPI 설정 방법,Ayuda: Cómo configurar AivisCloudAPI,مساعدة: كيفية إعداد AivisCloudAPI,Bantuan: Cara mengatur AivisCloudAPI,
AnnielBlockedMessage,0: url,"このモデルは使用できません。
詳細: {0}","This model is not available.
Details: {0}","该模型不可用。
详情: {0}","該模型不可用。
詳情: {0}","이 모델은 사용할 수 없습니다.
세부 정보: {0}","Este modelo no está disponible.
Detalles: {0}","هذا النموذج غير متاح.
التفاصيل: {0}","Model ini tidak tersedia.
Detail: {0}",
SpeakerBlockedMessage,,開発ポリシーと合致しないため、このモデルは使用できません。,This model is not available due to development policy violations.,由于违反开发政策，该模型不可用。,由於違反開發政策，該模型不可用。,이 모델은 개발 정책 위반으로 인해 사용할 수 없습니다.,Este modelo no está disponible debido a violaciones de la política de desarrollo.,هذا النموذج غير متاح بسبب انتهاكات سياسة التطوير.,Model ini tidak tersedia karena pelanggaran kebijakan pengembangan.,
