Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
AmplitudeDescription,,ウェーブの振幅。画像高さに対する割合 (0–50%),Amplitude of the wave. Percentage of image height (0-50%),波的振幅。占图像高度的百分比 (0-50%),波的振幅。占圖像高度的百分比 (0-50%),웨이브 진폭. 이미지 높이에 대한 비율 (0-50%),Amplitud de la onda. Porcentaje de la altura de la imagen (0-50%),سعة الموجة. النسبة المئوية من ارتفاع الصورة (0-50%),Amplitudo gelombang. Persentase tinggi gambar (0-50%),
Frequency,,周波数,Frequency,频率,頻率,주파수,Frecuencia,تردد,Frekuensi,
FrequencyDescription,,画像幅あたりのウェーブ周期数,Number of wave cycles per image width.,图像宽度上的波周期数。,圖像寬度上的波週期數。,이미지 너비당 웨이브 주기 수.,Número de ciclos de onda por ancho de imagen.,عدد دورات الموجة لكل عرض صورة.,Jumlah siklus gelombang per lebar gambar.,
Phase,,位相,Phase,相位,相位,위상,Fase,مرحلة,Fase,
PhaseDescription,,ウェーブの水平位相オフセット (ラジアン),Horizontal phase offset of the wave (radians).,波的水平相位偏移（弧度）。,波的水平相位偏移（弧度）。,웨이브의 수평 위상 오프셋 (라디안).,Desplazamiento de fase horizontal de la onda (radianes).,إزاحة الطور الأفقي للموجة (بالراديان).,Offset fase horizontal gelombang (radian).,
RandomSpeed,,ランダム速度,Random Speed,随机速度,隨機速度,랜덤 속도,Velocidad aleatoria,سرعة عشوائية,Kecepatan Acak,
RandomSpeedDescription,,フラクタルノイズの水平オフセット。アニメーションさせることで波を流せます,Horizontal offset of the fractal noise. Animate to scroll the wave.,分形噪声的水平偏移。通过动画使波浪流动。,分形雜訊的水平偏移。通過動畫使波浪流動。,프랙탈 노이즈의 수평 오프셋. 애니메이션으로 파도를 흐르게 할 수 있습니다.,Desplazamiento horizontal del ruido fractal. Anima para hacer fluir la onda.,الإزاحة الأفقية لضوضاء كسورية. قم بتحريكها لتدفق الموجة.,Offset horizontal noise fraktal. Animasikan untuk mengalirkan gelombang.,
Softness,,ソフトネス,Softness,柔和度,柔和度,부드러움,Suavidad,نعومة,Kelembutan,
SoftnessDescription,,クリッピングエッジの柔らかさ。画像高さに対する割合,Softness of the clipping edge. Percentage of image height.,裁剪边缘的柔和度。占图像高度的百分比。,裁剪邊緣的柔和度。占圖像高度的百分比。,클리핑 가장자리의 부드러움. 이미지 높이에 대한 비율.,Suavidad del borde de recorte. Porcentaje de la altura de la imagen.,نعومة حافة القص. النسبة المئوية من ارتفاع الصورة.,Kelembutan tepi kliping. Persentase tinggi gambar.,
Inverted,,反転,Inverted,反转,反轉,반전,Invertido,مقلوب,Terbalik,
InvertedDescription,,クリッピングマスクを反転します,Inverts the clipping mask.,反转裁剪遮罩。,反轉裁剪遮罩。,클리핑 마스크를 반전시킵니다.,Invierte la máscara de recorte.,يعكس قناع القص.,Membalikkan topeng kliping.,
ModeUnidirectional,,一方向,Unidirectional,单向,單向,단방향,Unidireccional,أحادي الاتجاه,Searah,
ModeUnidirectionalDescription,,単一のウェーブ境界で片側をクリッピングします,Clips one side with a single wave boundary.,使用单个波浪边界裁剪一侧。,使用單個波浪邊界裁剪一側。,단일 웨이브 경계로 한쪽을 클리핑합니다.,Recorta un lado con un único límite de onda.,يقص جانبًا واحدًا بحد موجة واحد.,Memotong satu sisi dengan satu batas gelombang.,
ModeBidirectional,,双方向,Bidirectional,双向,雙向,양방향,Bidireccional,ثنائي الاتجاه,Dua arah,
ModeBidirectionalDescription,,2つのウェーブ境界でバンドを形成します,Forms a band with two wave boundaries.,用两个波浪边界形成一个带。,用兩個波浪邊界形成一個帶。,두 개의 웨이브 경계로 밴드를 형성합니다.,Forma una banda con dos límites de onda.,يشكل نطاقًا بحدين للموجة.,Membentuk pita dengan dua batas gelombang.,
ModeBidirectionalInverted,,双方向(反転),Bidirectional (Inverted),双向（反转）,雙向（反轉）,양방향 (반전),Bidireccional (Invertido),ثنائي الاتجاه (مقلوب),Dua Arah (Terbalik),
ModeBidirectionalInvertedDescription,,バンド外側を表示するよう反転クリッピングします,Invert clipping to display the outside of the band.,反转裁剪以显示带外侧。,反轉裁剪以顯示帶外側。,대역 외부를 표시하도록 반전 클리핑합니다.,Invierte el recorte para mostrar el exterior de la banda.,يعكس القص لعرض الجزء الخارجي من النطاق.,Membalikkan kliping untuk menampilkan bagian luar pita.,
Rotation,,回転,Rotation,旋转,旋轉,회전,Rotación,تدوير,Rotasi,
RotationDescription,,波の向きの回転角 (度),Rotation angle of the wave direction (degrees).,波浪方向的旋转角度（度）。,波浪方向的旋轉角度（度）。,웨이브 방향의 회전 각도 (도).,Ángulo de rotación de la dirección de la onda (grados).,زاوية دوران اتجاه الموجة (بالدرجات).,Sudut rotasi arah gelombang (derajat).,
UseRandom,,ランダム,Random,随机,隨機,랜덤,Aleatorio,عشوائي,Acak,
UseRandomDescription,,波形をランダムなフラクタルノイズで生成します,Generates the wave shape using fractal noise.,使用分形噪声生成波形。,使用分形雜訊生成波形。,파형을 랜덤 프랙탈 노이즈로 생성합니다.,Genera la forma de onda con ruido fractal.,يولد شكل الموجة باستخدام ضوضاء كسورية.,Menghasilkan bentuk gelombang menggunakan noise fraktal.,
