Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
PuppetDeformationOffsetXDesc,,基準位置からの移動量 (X)。プレビュー上のドラッグで変化します。,Movement from the anchor (X). Updated by dragging the pin in the preview.,从基准位置的移动量 (X)。通过在预览中拖动图钉来更新。,從基準位置的移動量 (X)。透過在預覽中拖曳圖釘來更新。,기준 위치로부터의 이동량 (X). 미리보기에서 드래그로 변경됩니다.,Desplazamiento desde el ancla (X). Cambia al arrastrar en la vista previa.,مقدار التحرك من المرجع (X). يتغير بسحب الدبوس في المعاينة.,Pergeseran dari jangkar (X). Berubah dengan menyeret pin di pratinjau.
PuppetDeformationOffsetYName,,移動Y,Move Y,移动Y,移動Y,이동 Y,Mover Y,تحريك Y,Pindah Y
PuppetDeformationOffsetYDesc,,基準位置からの移動量 (Y)。プレビュー上のドラッグで変化します。,Movement from the anchor (Y). Updated by dragging the pin in the preview.,从基准位置的移动量 (Y)。通过在预览中拖动图钉来更新。,從基準位置的移動量 (Y)。透過在預覽中拖曳圖釘來更新。,기준 위치로부터의 이동량 (Y). 미리보기에서 드래그로 변경됩니다.,Desplazamiento desde el ancla (Y). Cambia al arrastrar en la vista previa.,مقدار التحرك من المرجع (Y). يتغير بسحب الدبوس في المعاينة.,Pergeseran dari jangkar (Y). Berubah dengan menyeret pin di pratinjau.
TagPuppet,,パペット,puppet,木偶,木偶,퍼펫,marioneta,دمية,boneka
TagPin,,ピン,pin,图钉,圖釘,핀,alfiler,دبوس,pin
TagWarp,,ワープ,warp,变形,變形,워프,deformar,تشويه,warp
TagDeform,,変形,deform,变形,變形,변형,deformación,تشويه,deformasi
PuppetDeformationListPinsDesc,,パペット変形ピンを追加・削除します。,Add or remove puppet deformation pins.,添加或删除木偶变形图钉。,新增或刪除木偶變形圖釘。,퍼펫 변형 핀을 추가/삭제합니다.,Agrega o elimina alfileres de deformación marioneta.,إضافة أو إزالة دبابيس تشويه الدمية.,Tambah atau hapus pin deformasi boneka.
PuppetDeformationListAddPin,,ピンを追加,Add Pin,添加图钉,新增圖釘,핀 추가,Agregar alfiler,إضافة دبوس,Tambah Pin
PuppetDeformationListRemovePin,,選択中のピンを削除,Remove Selected Pin,删除选中的图钉,刪除選中的圖釘,선택된 핀 삭제,Eliminar alfiler seleccionado,إزالة الدبوس المحدد,Hapus Pin Terpilih
PuppetDeformationListResetTitle,,確認,Confirm,确认,確認,확인,Confirmar,تأكيد,Konfirmasi
PuppetDeformationListResetMessage,,すべてのピンの移動量をリセットします。よろしいですか?,Reset the movement of all pins. Continue?,将所有图钉的移动量重置。是否继续?,將所有圖釘的移動量重置。是否繼續?,모든 핀의 이동량을 초기화합니다. 계속하시겠습니까?,Restablecer el movimiento de todos los alfileres. ¿Continuar?,إعادة تعيين تحريك جميع الدبابيس. هل تريد المتابعة؟,Atur ulang pergeseran semua pin. Lanjutkan?
PuppetDeformationEditorSyncModeName,,同期モード,Sync Mode,同步模式,同步模式,동기화 모드,Modo de sincronización,وضع المزامنة,Mode Sinkronisasi
PuppetDeformationEditorSyncModeDesc,,複数選択中のピンを同期して動かす方法を選択します。,Selects how multiple selected pins move together.,选择多个选中的图钉如何同步移动。,選擇多個選中的圖釘如何同步移動。,여러 선택된 핀의 동기 이동 방식을 선택합니다.,Selecciona cómo se mueven juntos varios alfileres seleccionados.,يحدد كيفية تحرك الدبابيس المحددة المتعددة معًا.,Memilih cara beberapa pin terpilih bergerak bersama.
PuppetDeformationEditorSyncModeNoneName,,なし,None,无,無,없음,Ninguno,لا شيء,Tidak Ada
PuppetDeformationEditorSyncModeNoneDesc,,選択したピンのみ移動します。,Move only selected pins.,仅移动选中的图钉。,僅移動選中的圖釘。,선택한 핀만 이동합니다.,Mueve solo los alfileres seleccionados.,تحريك الدبابيس المحددة فقط.,Hanya pindahkan pin terpilih.
PuppetDeformationEditorSyncModeDistanceName,,距離減衰,Distance Decay,距离衰减,距離衰減,거리 감쇠,Decaimiento por distancia,اضمحلال المسافة,Peluruhan Jarak
PuppetDeformationEditorSyncModeDistanceDesc,,選択したピンの移動量に合わせて、他の選択ピンも距離に応じて減衰しながら移動します。,Move other selected pins based on distance from the moved pin.,根据与移动图钉的距离，相应衰减移动其他选中的图钉。,根據與移動圖釘的距離，相應衰減移動其他選中的圖釘。,이동한 핀과의 거리에 따라 다른 선택된 핀도 감쇠하며 이동합니다.,Mueve otros alfileres seleccionados basándose en la distancia.,تحريك الدبابيس المحددة الأخرى بناءً على المسافة من الدبوس المحرك.,Pindahkan pin terpilih lainnya berdasarkan jarak.
PuppetDeformationEditorSyncModeParallelName,,平行移動,Parallel,平行移动,平行移動,평행 이동,Paralelo,موازي,Sejajar
PuppetDeformationEditorSyncModeParallelDesc,,選択したすべてのピンが同じ量だけ平行に移動します。,Move all selected pins equally in parallel.,将所有选中的图钉同等平行移动。,將所有選中的圖釘同等平行移動。,모든 선택된 핀을 평행하게 같은 양만큼 이동합니다.,Mueve todos los alfileres seleccionados igualmente en paralelo.,تحريك جميع الدبابيس المحددة بشكل متساوٍ ومتوازي.,Pindahkan semua pin terpilih secara paralel.
PuppetDeformationLabelMove,,移動,Move,移动,移動,이동,Mover,تحريك,Pindah
PuppetDeformationLabelAnchor,,基準,Anchor,基准,基準,기준,Ancla,مرجع,Acuan
PuppetDeformationRestButtonTooltip,,Alt+クリックで移動ポイントを選択,Alt+Click to select the move point,Alt+单击可选择移动点,Alt+點擊可選取移動點,Alt+클릭으로 이동 포인트 선택,Alt+Clic para seleccionar el punto de movimiento,Alt+انقر لتحديد نقطة التحريك,Alt+Klik untuk memilih titik pindah
PuppetDeformationOffsetButtonTooltip,,Alt+クリックで基準ポイントを選択,Alt+Click to select the anchor point,Alt+单击可选择基准点,Alt+點擊可選取基準點,Alt+클릭으로 기준 포인트 선택,Alt+Clic para seleccionar el punto de ancla,Alt+انقر لتحديد نقطة المرجع,Alt+Klik untuk memilih titik jangkar
PuppetDeformationApplyName,,変形を適用,Apply Deformation,应用变形,套用變形,변형 적용,Aplicar deformación,تطبيق التشويه,Terapkan Deformasi
PuppetDeformationApplyDesc,,変形を画像に適用します。オフにすると変形前の画像のままピンを編集できます。,Applies the deformation to the image. When off you can edit pins on the original undeformed image.,将变形应用到图像。关闭时可在未变形的原图上编辑图钉。,將變形套用到圖像。關閉時可在未變形的原圖上編輯圖釘。,변형을 이미지에 적용합니다. 끄면 변형 전 원본 이미지에서 핀을 편집할 수 있습니다.,Aplica la deformación a la imagen. Al desactivar puedes editar los alfileres sobre la imagen original sin deformar.,يطبّق التشويه على الصورة. عند الإيقاف يمكنك تحرير الدبابيس على الصورة الأصلية دون تشويه.,Menerapkan deformasi ke gambar. Saat nonaktif Anda dapat mengedit pin pada gambar asli tanpa deformasi.
PuppetDeformationAlgorithmName,,変形方式,Algorithm,变形方式,變形方式,변형 방식,Algoritmo,خوارزمية التشويه,Algoritma
PuppetDeformationAlgorithmDesc,,変形の計算方式を選択します。「剛体（ARAP）」は各部の形をできるだけ保ったまま自然に曲がります。,Selects the deformation algorithm. Rigid (ARAP) bends naturally while preserving local shape.,选择变形的计算方式。「刚体（ARAP）」在尽量保持各部分形状的同时自然弯曲。,選擇變形的計算方式。「剛體（ARAP）」在盡量保持各部分形狀的同時自然彎曲。,변형 계산 방식을 선택합니다. 「강체(ARAP)」는 각 부분의 형태를 최대한 유지하면서 자연스럽게 구부러집니다.,Selecciona el algoritmo de deformación. Rígido (ARAP) se dobla de forma natural conservando la forma local.,يحدد خوارزمية التشويه. الصلب (ARAP) ينحني بشكل طبيعي مع الحفاظ على الشكل المحلي.,Memilih algoritma deformasi. Kaku (ARAP) menekuk secara alami sambil mempertahankan bentuk lokal.
PuppetDeformationAlgorithmMlsName,,なめらか（MLS）,Smooth (MLS),平滑（MLS）,平滑（MLS）,부드러움(MLS),Suave (MLS),ناعم (MLS),Halus (MLS)
PuppetDeformationAlgorithmMlsDesc,,ピンからの距離に応じてなめらかに変形します。従来の方式です。,Deforms smoothly based on distance from each pin. This is the classic mode.,根据与图钉的距离平滑变形。这是传统方式。,根據與圖釘的距離平滑變形。這是傳統方式。,핀과의 거리에 따라 부드럽게 변형합니다. 기존 방식입니다.,Deforma suavemente según la distancia a cada alfiler. Es el modo clásico.,يشوه بسلاسة حسب المسافة من كل دبوس. هذا هو الوضع التقليدي.,Berdeformasi dengan halus berdasarkan jarak dari setiap pin. Ini mode klasik.
PuppetDeformationAlgorithmArapName,,剛体（ARAP）,Rigid (ARAP),刚体（ARAP）,剛體（ARAP）,강체(ARAP),Rígido (ARAP),صلب (ARAP),Kaku (ARAP)
PuppetDeformationAlgorithmArapDesc,,各部の形をできるだけ保ったまま変形します。腕や脚を曲げるような操作に適しています。,Deforms while preserving local rigidity as much as possible. Ideal for bending arms and legs.,在尽量保持各部分形状的同时变形。适合弯曲手臂或腿部等操作。,在盡量保持各部分形狀的同時變形。適合彎曲手臂或腿部等操作。,각 부분의 형태를 최대한 유지하면서 변형합니다. 팔이나 다리를 구부리는 조작에 적합합니다.,Deforma conservando la rigidez local tanto como sea posible. Ideal para doblar brazos y piernas.,يشوه مع الحفاظ على الصلابة المحلية قدر الإمكان. مثالي لثني الذراعين والساقين.,Berdeformasi sambil mempertahankan kekakuan lokal sebisa mungkin. Ideal untuk menekuk lengan dan kaki.
PuppetDeformationCanvasTooltip,,クリック: ピンを追加 / ドラッグ: 基準位置を移動 / 右クリック・中クリック・Deleteキー: 削除 / Ctrl+ホイール: ズーム / 中ドラッグ: 表示位置を移動,Click: add pin / Drag: move anchor / Right-click・middle-click or Delete key: remove / Ctrl+Wheel: zoom / Middle-drag: pan,单击: 添加图钉 / 拖动: 移动基准位置 / 右键・中键或Delete键: 删除 / Ctrl+滚轮: 缩放 / 中键拖动: 平移视图,點擊: 新增圖釘 / 拖曳: 移動基準位置 / 右鍵・中鍵或Delete鍵: 刪除 / Ctrl+滾輪: 縮放 / 中鍵拖曳: 平移視圖,클릭: 핀 추가 / 드래그: 기준 위치 이동 / 우클릭·휠클릭·Delete 키: 삭제 / Ctrl+휠: 확대/축소 / 휠 드래그: 표시 위치 이동,Clic: agregar alfiler / Arrastrar: mover ancla / Clic derecho・clic central o tecla Supr: eliminar / Ctrl+Rueda: zoom / Arrastrar con central: desplazar,نقرة: إضافة دبوس / سحب: تحريك المرجع / نقرة يمنى أو وسطى أو مفتاح Delete: حذف / Ctrl+عجلة: تكبير / سحب بالزر الأوسط: تحريك العرض,Klik: tambah pin / Seret: pindahkan jangkar / Klik kanan・klik tengah atau tombol Delete: hapus / Ctrl+Roda: zoom / Seret tengah: geser tampilan
PuppetDeformationCanvasRefreshTooltip,,画像を更新,Refresh image,更新图像,更新圖像,이미지 업데이트,Actualizar imagen,تحديث الصورة,Perbarui gambar
PuppetDeformationCanvasResetViewTooltip,,表示位置と拡大率を全体表示に戻す,Reset view to fit,重置视图为适应大小,重設視圖為適應大小,전체 보기로 초기화,Restablecer vista para ajustar,إعادة ضبط العرض للملاءمة,Atur ulang tampilan agar pas
PuppetDeformationCanvasNoImage,,画像を取得できませんでした,Could not load the image,无法获取图像,無法取得圖像,이미지를 가져올 수 없습니다,No se pudo obtener la imagen,تعذر الحصول على الصورة,Tidak dapat memuat gambar
PuppetBoneGroupName,,ボーン,Bone,骨骼,骨骼,본,Hueso,عظم,Tulang
PuppetBoneSwayGroupName,,揺れ,Sway,摇摆,搖擺,흔들림,Balanceo,التمايل,Ayunan
SecUnit,,秒,s,秒,秒,초,Seg,ثانية,Detik
PuppetBoneNameName,,名前,Name,名称,名稱,이름,Nombre,الاسم,Nama
PuppetBoneNameDesc,,ボーンの表示名。整理用のメモです。,Display name of the bone. For organization only.,骨骼的显示名称。仅用于整理。,骨骼的顯示名稱。僅用於整理。,본의 표시 이름. 정리용입니다.,Nombre del hueso. Solo para organización.,اسم العظم للعرض. للتنظيم فقط.,Nama tampilan tulang. Hanya untuk pengaturan.
PuppetBoneEnabledName,,有効,Enable,启用,啟用,사용,Activar,تفعيل,Aktif
PuppetBoneEnabledDesc,,このボーンの回転と揺れを適用します。,Applies this bone's rotation and sway.,应用此骨骼的旋转和摇摆。,套用此骨骼的旋轉和搖擺。,이 본의 회전과 흔들림을 적용합니다.,Aplica la rotación y el balanceo de este hueso.,يطبق دوران هذا العظم وتمايله.,Menerapkan rotasi dan ayunan tulang ini.
PuppetBoneAngleName,,角度,Angle,角度,角度,각도,Ángulo,الزاوية,Sudut
PuppetBoneAngleDesc,,親ジョイントを中心とした回転角度。親ボーンの回転も合成されます。ルートボーンは自身のジョイントを中心に回転します。,Rotation around the parent joint. The parent bone's rotation is also applied. Root bones rotate around their own joint.,以父关节为中心的旋转角度。父骨骼的旋转也会叠加。根骨骼以自身关节为中心旋转。,以父關節為中心的旋轉角度。父骨骼的旋轉也會疊加。根骨骼以自身關節為中心旋轉。,부모 조인트를 중심으로 한 회전 각도. 부모 본의 회전도 합성됩니다. 루트 본은 자신의 조인트를 중심으로 회전합니다.,Rotación alrededor de la articulación padre. La rotación del hueso padre también se aplica. Los huesos raíz rotan alrededor de su propia articulación.,الدوران حول المفصل الأب. يُطبق أيضًا دوران العظم الأب. تدور العظام الجذرية حول مفصلها الخاص.,Rotasi di sekitar sendi induk. Rotasi tulang induk juga diterapkan. Tulang akar berputar di sekitar sendinya sendiri.
PuppetBoneSwayAngleName,,揺れ角度,Sway Angle,摇摆角度,搖擺角度,흔들림 각도,Ángulo de balanceo,زاوية التمايل,Sudut Ayunan
PuppetBoneSwayAngleDesc,,揺れの振れ幅。髪や服を自動で揺らせます。,Amplitude of the sway. Useful for hair and clothing.,摇摆的幅度。可自动摇动头发或衣服。,搖擺的幅度。可自動搖動頭髮或衣服。,흔들림의 진폭. 머리카락이나 옷을 자동으로 흔들 수 있습니다.,Amplitud del balanceo. Útil para cabello y ropa.,سعة التمايل. مفيد للشعر والملابس.,Amplitudo ayunan. Berguna untuk rambut dan pakaian.
PuppetBoneSwayPeriodName,,揺れ周期,Sway Period,摇摆周期,搖擺週期,흔들림 주기,Período de balanceo,دورة التمايل,Periode Ayunan
PuppetBoneSwayPeriodDesc,,揺れ1往復にかかる秒数。,Seconds per sway cycle.,摇摆一个来回所需的秒数。,搖擺一個來回所需的秒數。,흔들림 1회 왕복에 걸리는 시간(초).,Segundos por ciclo de balanceo.,عدد الثواني لكل دورة تمايل.,Detik per siklus ayunan.
PuppetBoneSwayPhaseName,,揺れ位相,Sway Phase,摇摆相位,搖擺相位,흔들림 위상,Fase de balanceo,طور التمايل,Fase Ayunan
PuppetBoneSwayPhaseDesc,,揺れの開始タイミングをずらします。複数の髪束の揺れをずらしたいときに使います。,Offsets the sway timing. Useful for desynchronizing multiple hair strands.,错开摇摆的起始时间。用于错开多束头发的摇摆。,錯開搖擺的起始時間。用於錯開多束頭髮的搖擺。,흔들림 시작 타이밍을 어긋나게 합니다. 여러 머리카락 묶음의 흔들림을 어긋나게 할 때 사용합니다.,Desfasa el inicio del balanceo. Útil para desincronizar varios mechones de cabello.,يزيح توقيت التمايل. مفيد لإزالة تزامن خصلات الشعر المتعددة.,Menggeser waktu mulai ayunan. Berguna untuk membedakan ayunan beberapa helai rambut.
PuppetBoneSwayFlexibilityName,,しなり,Flexibility,柔韧,柔韌,유연성,Flexibilidad,المرونة,Kelenturan
PuppetBoneSwayFlexibilityDesc,,揺れが子ボーンへ伝わる際に1世代ごとに遅らせる位相。大きいほど鞭のようにしなって波打ち、0でチェーン全体がまっすぐ振り子のように揺れます。,Phase delay per generation as the sway travels down the chain. Larger values bend and wave like a whip; 0 swings the whole chain rigidly like a pendulum.,摇摆传向子骨骼时每一代延迟的相位。值越大越像鞭子一样弯曲波动，0则整条链像钟摆一样笔直摆动。,搖擺傳向子骨骼時每一代延遲的相位。值越大越像鞭子一樣彎曲波動，0則整條鏈像鐘擺一樣筆直擺動。,흔들림이 자식 본으로 전달될 때 세대마다 지연되는 위상. 클수록 채찍처럼 휘어져 물결치고 0이면 체인 전체가 곧게 진자처럼 흔들립니다.,Desfase por generación cuando el balanceo baja por la cadena. Valores altos ondulan como un látigo; con 0 toda la cadena oscila rígida como un péndulo.,تأخير الطور لكل جيل عند انتقال التمايل عبر السلسلة. القيم الأكبر تنحني وتتموج كالسوط وعند 0 تتأرجح السلسلة كلها كبندول مستقيم.,Penundaan fase per generasi saat ayunan merambat di rantai. Nilai besar melengkung seperti cambuk; 0 membuat seluruh rantai berayun kaku seperti bandul.
PuppetBoneSwayPropagationName,,揺れ伝播,Sway Propagation,摇摆传播,搖擺傳播,흔들림 전파,Propagación de balanceo,انتشار التمايل,Perambatan Ayunan
PuppetBoneSwayPropagationDesc,,揺れが子ボーンへ伝わる割合。0%で伝わらず、100%でそのまま伝わり、100%より大きくすると先端ほど揺れが増幅されます。,How much of the sway is passed to child bones. 0% stops propagation, 100% passes it unchanged, and values above 100% amplify the sway toward the tips.,摇摆传向子骨骼的比例。0%不传播，100%原样传递，超过100%则越靠末端摇摆越大。,搖擺傳向子骨骼的比例。0%不傳播，100%原樣傳遞，超過100%則越靠末端搖擺越大。,흔들림이 자식 본으로 전달되는 비율. 0%면 전달되지 않고 100%면 그대로 전달되며 100%보다 크면 끝으로 갈수록 흔들림이 증폭됩니다.,Cuánto del balanceo se transmite a los huesos hijos. 0% no se propaga, 100% se transmite igual y por encima de 100% se amplifica hacia las puntas.,نسبة انتقال التمايل إلى العظام الأبناء. 0% لا ينتقل و100% ينتقل كما هو وفوق 100% يتضخم نحو الأطراف.,Seberapa besar ayunan diteruskan ke tulang anak. 0% tidak merambat, 100% diteruskan apa adanya, dan di atas 100% diperkuat ke arah ujung.
PuppetBoneJointXName,,ジョイントX,Joint X,关节X,關節X,조인트 X,Articulación X,المفصل X,Sendi X
PuppetBoneJointXDesc,,ジョイントの位置 (X座標)。子ボーンはこのジョイントを中心に回転します。,Position of the joint (X). Child bones rotate around this joint.,关节的位置 (X)。子骨骼以此关节为中心旋转。,關節的位置 (X)。子骨骼以此關節為中心旋轉。,조인트의 위치 (X). 자식 본은 이 조인트를 중심으로 회전합니다.,Posición de la articulación (X). Los huesos hijos rotan alrededor de esta articulación.,موضع المفصل (X). تدور العظام الأبناء حول هذا المفصل.,Posisi sendi (X). Tulang anak berputar di sekitar sendi ini.
PuppetBoneJointYName,,ジョイントY,Joint Y,关节Y,關節Y,조인트 Y,Articulación Y,المفصل Y,Sendi Y
PuppetBoneJointYDesc,,ジョイントの位置 (Y座標)。子ボーンはこのジョイントを中心に回転します。,Position of the joint (Y). Child bones rotate around this joint.,关节的位置 (Y)。子骨骼以此关节为中心旋转。,關節的位置 (Y)。子骨骼以此關節為中心旋轉。,조인트의 위치 (Y). 자식 본은 이 조인트를 중심으로 회전합니다.,Posición de la articulación (Y). Los huesos hijos rotan alrededor de esta articulación.,موضع المفصل (Y). تدور العظام الأبناء حول هذا المفصل.,Posisi sendi (Y). Tulang anak berputar di sekitar sendi ini.
PuppetDeformationModePin,,ピン,Pins,图钉,圖釘,핀,Alfileres,دبابيس,Pin
PuppetDeformationModeBone,,ボーン,Bones,骨骼,骨骼,본,Huesos,عظام,Tulang
PuppetDeformationListAddBone,,ボーンを追加,Add Bone,添加骨骼,新增骨骼,본 추가,Agregar hueso,إضافة عظم,Tambah Tulang
PuppetDeformationListRemoveBone,,選択中のボーンを削除,Remove Selected Bone,删除选中的骨骼,刪除選中的骨骼,선택된 본 삭제,Eliminar hueso seleccionado,إزالة العظم المحدد,Hapus Tulang Terpilih
PuppetDeformationCanvasBoneTooltip,,クリック: ボーンを追加（選択中ボーンの子） / ボーンの線をクリック: ジョイントを挿入 / ピンをクリック: 選択ボーンへの割り当てを切替 / ドラッグ: ジョイント移動 / Esc: 選択解除 / 右クリック・中クリック・Deleteキー: 削除 / Ctrl+ホイール: ズーム / 中ドラッグ: 表示位置を移動,Click: add bone (child of selected) / Click a bone line: insert a joint / Click pin: toggle assignment to selected bone / Drag: move joint / Esc: deselect / Right-click・middle-click or Delete key: remove / Ctrl+Wheel: zoom / Middle-drag: pan,单击: 添加骨骼（作为选中骨骼的子级） / 单击骨骼连线: 插入关节 / 单击图钉: 切换分配到选中骨骼 / 拖动: 移动关节 / Esc: 取消选择 / 右键・中键或Delete键: 删除 / Ctrl+滚轮: 缩放 / 中键拖动: 平移视图,點擊: 新增骨骼（作為選中骨骼的子級） / 點擊骨骼連線: 插入關節 / 點擊圖釘: 切換分配到選中骨骼 / 拖曳: 移動關節 / Esc: 取消選擇 / 右鍵・中鍵或Delete鍵: 刪除 / Ctrl+滾輪: 縮放 / 中鍵拖曳: 平移視圖,클릭: 본 추가(선택된 본의 자식) / 본 선 클릭: 조인트 삽입 / 핀 클릭: 선택된 본 할당 전환 / 드래그: 조인트 이동 / Esc: 선택 해제 / 우클릭·휠클릭·Delete 키: 삭제 / Ctrl+휠: 확대/축소 / 휠 드래그: 표시 위치 이동,Clic: agregar hueso (hijo del seleccionado) / Clic en la línea del hueso: insertar articulación / Clic en alfiler: alternar asignación al hueso seleccionado / Arrastrar: mover articulación / Esc: deseleccionar / Clic derecho・clic central o tecla Supr: eliminar / Ctrl+Rueda: zoom / Arrastrar con central: desplazar,نقرة: إضافة عظم (ابن للعظم المحدد) / نقرة على خط العظم: إدراج مفصل / نقرة على دبوس: تبديل التعيين إلى العظم المحدد / سحب: تحريك المفصل / Esc: إلغاء التحديد / نقرة يمنى أو وسطى أو مفتاح Delete: حذف / Ctrl+عجلة: تكبير / سحب بالزر الأوسط: تحريك العرض,Klik: tambah tulang (anak dari yang terpilih) / Klik garis tulang: sisipkan sendi / Klik pin: alihkan penetapan ke tulang terpilih / Seret: pindahkan sendi / Esc: batal pilih / Klik kanan・klik tengah atau tombol Delete: hapus / Ctrl+Roda: zoom / Seret tengah: geser tampilan
PuppetDeformationLabelBone,,ボーン,Bone,骨骼,骨骼,본,Hueso,عظم,Tulang
PuppetDeformationNoJointSelected,,ジョイントが選択されていません,No joint selected,未选择关节,未選擇關節,선택된 조인트가 없습니다,Ninguna articulación seleccionada,لم يتم تحديد مفصل,Tidak ada sendi yang dipilih
PuppetDeformationNoPinSelected,,ピンが選択されていません,No pin selected,未选择图钉,未選擇圖釘,선택된 핀이 없습니다,Ningún alfiler seleccionado,لم يتم تحديد دبوس,Tidak ada pin yang dipilih
