Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EasingModeDesc,,アニメーションの加減速の方向を選択します。,Selects the acceleration direction of the easing.,选择缓动的加减速方向。,選擇緩動的加減速方向。,이징의 가속·감속 방향을 선택합니다.,Selecciona la dirección de aceleración del suavizado.,يحدد اتجاه التسارع للتخفيف.,Memilih arah akselerasi easing.
SpreadPageTurnEffectName,,見開きめくり,Spread page turn,对开页翻页,對開頁翻頁,펼침면 넘기기,Pasar página doble,تقليب صفحة مزدوجة,Balik halaman ganda
SpreadPageTurnEffectProgressName,,めくり度合い,Turn amount,翻页程度,翻頁程度,넘김 정도,Grado de paso,مقدار التقليب,Tingkat balik
SpreadPageTurnEffectProgressDesc,,ページをめくる度合いです。100%で完全にめくれた状態になります。,How far the page is turned. At 100% the page is fully turned.,翻页的程度。100%时完全翻过。,翻頁的程度。100%時完全翻過。,페이지를 넘기는 정도입니다. 100%에서 완전히 넘겨집니다.,Grado en que se pasa la página. Al 100% la página está completamente pasada.,مقدار تقليب الصفحة. عند 100% تكون الصفحة مقلوبة بالكامل.,Seberapa jauh halaman dibalik. Pada 100% halaman terbalik sepenuhnya.
InOutSpreadPageTurnEffectName,,見開きをめくりながら登場退場,Appearing and exiting while turning the spread,对开页翻页时入/出场,在對開頁翻頁時登場退場,펼침면을 넘기면서 등장 퇴장,Apareciendo y saliendo al pasar la página doble,الظهور والخروج أثناء تقليب الصفحة المزدوجة,Masuk dan keluar sambil membalik halaman ganda
InOutGroupName,,登場退場,Appearance and exit,入/出场,登場退場,등장 퇴장,Aparición y salida,ظهور ومغادرة,Masuk dan keluar
InSpreadPageTurnEffectLabel,,見開きを戻しながら,while turning the spread back,翻回对开页时,在翻回對開頁時,펼침면을 되돌리면서,Al devolver la página doble,أثناء إعادة الصفحة المزدوجة,saat mengembalikan halaman ganda
OutSpreadPageTurnEffectLabel,,見開きをめくりながら,while turning the spread,翻动对开页时,在翻動對開頁時,펼침면을 넘기면서,Al pasar la página doble,أثناء تقليب الصفحة المزدوجة,saat membalik halaman ganda
SpreadPageTurnStyleName,,めくり方,Turn style,翻页方式,翻頁方式,넘김 방식,Estilo de paso,أسلوب التقليب,Gaya balik
SpreadPageTurnStyleDesc,,ページのめくり方を選択します。,Selects how the page turns.,选择翻页的方式。,選擇翻頁的方式。,페이지를 넘기는 방식을 선택합니다.,Selecciona cómo se pasa la página.,يحدد طريقة تقليب الصفحة.,Memilih cara halaman dibalik.
SpreadPageTurnStyleCurlName,,カール,Curl,卷曲,捲曲,컬,Curvatura,التفاف,Gulungan
SpreadPageTurnStyleFoldName,,折りたたみ,Fold,折叠,摺疊,접기,Plegado,طي,Lipatan
SpreadPageTurnFovName,,視野角,Field of view,视野角,視野角,시야각,Campo de visión,مجال الرؤية,Sudut pandang
SpreadPageTurnFovDesc,,折りたたみの遠近感です。垂直方向の視野角で指定し、0°で平行投影になります。,Perspective of the fold given as the vertical field of view. Set to 0° for orthographic projection.,折叠的透视感。以垂直视野角指定，设为0°时使用正交投影。,摺疊的透視感。以垂直視野角指定，設為0°時使用正交投影。,접기 방식의 원근감입니다. 수직 시야각으로 지정하며 0°로 설정하면 직교 투영이 됩니다.,Perspectiva del plegado indicada como campo de visión vertical. Ajústalo a 0° para proyección ortográfica.,منظور الطي، يحدد بمجال الرؤية الرأسي. اضبطه على 0° لاستخدام الإسقاط المتعامد.,Perspektif lipatan ditentukan dengan sudut pandang vertikal. Atur ke 0° untuk proyeksi ortografis.
